K,width,update,lead_hours,pressure_hpa,field,rmse,baseline_rmse,rmse_ratio
1,128,0,6,975,u_component_of_wind,0.772936429394987,0.772936429394987,1.0
1,128,0,6,1000,u_component_of_wind,0.706530603585151,0.706530603585151,1.0
1,128,0,6,1,v_component_of_wind,10.217615421462448,10.217615421462448,1.0
1,128,0,6,2,v_component_of_wind,8.013975230005627,8.013975230005627,1.0
1,128,0,6,3,v_component_of_wind,6.99604354491347,6.99604354491347,1.0
1,128,0,6,5,v_component_of_wind,5.856882113139169,5.856882113139169,1.0
1,128,0,6,7,v_component_of_wind,5.04879805780746,5.04879805780746,1.0
1,128,0,6,10,v_component_of_wind,4.212054649797571,4.212054649797571,1.0
1,128,0,6,20,v_component_of_wind,3.132682837034625,3.132682837034625,1.0
1,128,0,6,30,v_component_of_wind,2.934383552770658,2.934383552770658,1.0
1,128,0,6,50,v_component_of_wind,1.0162184764490427,1.0162184764490427,1.0
1,128,0,6,70,v_component_of_wind,1.0146993114070182,1.0146993114070182,1.0
1,128,0,6,100,v_component_of_wind,1.0124299104952352,1.0124299104952352,1.0
1,128,0,6,125,v_component_of_wind,0.9845476252423212,0.9845476252423212,1.0
1,128,0,6,150,v_component_of_wind,0.990590970267721,0.990590970267721,1.0
1,128,0,6,175,v_component_of_wind,1.0026061549574068,1.0026061549574068,1.0
1,128,0,6,200,v_component_of_wind,1.0506483400486595,1.0506483400486595,1.0
1,128,0,6,225,v_component_of_wind,1.1539458111821337,1.1539458111821337,1.0
1,128,0,6,250,v_component_of_wind,1.2472675204999661,1.2472675204999661,1.0
1,128,0,6,300,v_component_of_wind,1.347740651303455,1.347740651303455,1.0
1,128,0,6,350,v_component_of_wind,1.3290593707296534,1.3290593707296534,1.0
1,128,0,6,400,v_component_of_wind,1.2521074225075,1.2521074225075,1.0
1,128,0,6,450,v_component_of_wind,1.1675815532403064,1.1675815532403064,1.0
1,128,0,6,500,v_component_of_wind,1.093600898328093,1.093600898328093,1.0
1,128,0,6,550,v_component_of_wind,1.0396268502141275,1.0396268502141275,1.0
1,128,0,6,600,v_component_of_wind,0.9974577749310111,0.9974577749310111,1.0
1,128,0,6,650,v_component_of_wind,0.9792344605076282,0.9792344605076282,1.0
1,128,0,6,700,v_component_of_wind,0.9604954173243057,0.9604954173243057,1.0
1,128,0,6,750,v_component_of_wind,0.9424057204498179,0.9424057204498179,1.0
1,128,0,6,775,v_component_of_wind,0.9308451007215435,0.9308451007215435,1.0
1,128,0,6,800,v_component_of_wind,0.9278565426619727,0.9278565426619727,1.0
1,128,0,6,825,v_component_of_wind,0.924852716790928,0.924852716790928,1.0
1,128,0,6,850,v_component_of_wind,0.9187872484327434,0.9187872484327434,1.0
1,128,0,6,875,v_component_of_wind,0.905953755531246,0.905953755531246,1.0
1,128,0,6,900,v_component_of_wind,0.8963129279150315,0.8963129279150315,1.0
1,128,0,6,925,v_component_of_wind,0.891872274973568,0.891872274973568,1.0
1,128,0,6,950,v_component_of_wind,0.8758473474280674,0.8758473474280674,1.0
1,128,0,6,975,v_component_of_wind,0.8252007431177929,0.8252007431177929,1.0
1,128,0,6,1000,v_component_of_wind,0.7474144380338668,0.7474144380338668,1.0
1,128,0,6,1,specific_humidity,9.093771566984339e-07,9.093771566984339e-07,1.0
1,128,0,6,2,specific_humidity,7.335056784697729e-07,7.335056784697729e-07,1.0
1,128,0,6,3,specific_humidity,5.95589768955808e-07,5.95589768955808e-07,1.0
1,128,0,6,5,specific_humidity,4.224884578703961e-07,4.224884578703961e-07,1.0
1,128,0,6,7,specific_humidity,3.348673087158939e-07,3.348673087158939e-07,1.0
1,128,0,6,10,specific_humidity,2.470444360450041e-07,2.470444360450041e-07,1.0
1,128,0,6,20,specific_humidity,1.196116131921905e-07,1.196116131921905e-07,1.0
1,128,0,6,30,specific_humidity,1.0382307119485337e-07,1.0382307119485337e-07,1.0
1,128,0,6,50,specific_humidity,1.2568902329994858e-08,1.2568902329994858e-08,1.0
1,128,0,6,70,specific_humidity,2.414820950784697e-08,2.414820950784697e-08,1.0
1,128,0,6,100,specific_humidity,8.178295415058188e-08,8.178295415058188e-08,1.0
1,128,0,6,125,specific_humidity,2.1831824920281115e-07,2.1831824920281115e-07,1.0
1,128,0,6,150,specific_humidity,5.992997945378687e-07,5.992997945378687e-07,1.0
1,128,0,6,175,specific_humidity,1.5910159323679622e-06,1.5910159323679622e-06,1.0
1,128,0,6,200,specific_humidity,3.764010817253872e-06,3.764010817253872e-06,1.0
1,128,0,6,225,specific_humidity,7.610957609189218e-06,7.610957609189218e-06,1.0
1,128,0,6,250,specific_humidity,1.317197315186294e-05,1.317197315186294e-05,1.0
1,128,0,6,300,specific_humidity,2.9177964649465544e-05,2.9177964649465544e-05,1.0
1,128,0,6,350,specific_humidity,5.435803037432676e-05,5.435803037432676e-05,1.0
1,128,0,6,400,specific_humidity,8.676819061223045e-05,8.676819061223045e-05,1.0
1,128,0,6,450,specific_humidity,0.00012779900835098047,0.00012779900835098047,1.0
1,128,0,6,500,specific_humidity,0.00016685150995882826,0.00016685150995882826,1.0
1,128,0,6,550,specific_humidity,0.00021487303231659992,0.00021487303231659992,1.0
1,128,0,6,600,specific_humidity,0.00025206401385736966,0.00025206401385736966,1.0
1,128,0,6,650,specific_humidity,0.0002942486987821947,0.0002942486987821947,1.0
1,128,0,6,700,specific_humidity,0.0003363237500858548,0.0003363237500858548,1.0
1,128,0,6,750,specific_humidity,0.00037860520076298974,0.00037860520076298974,1.0
1,128,0,6,775,specific_humidity,0.00039260193803214373,0.00039260193803214373,1.0
1,128,0,6,800,specific_humidity,0.00040466835784564294,0.00040466835784564294,1.0
1,128,0,6,825,specific_humidity,0.000413348603569168,0.000413348603569168,1.0
1,128,0,6,850,specific_humidity,0.0004130505235106746,0.0004130505235106746,1.0
1,128,0,6,875,specific_humidity,0.00039473209948691704,0.00039473209948691704,1.0
1,128,0,6,900,specific_humidity,0.00036987817005644063,0.00036987817005644063,1.0
1,128,0,6,925,specific_humidity,0.00034080341872750274,0.00034080341872750274,1.0
1,128,0,6,950,specific_humidity,0.000303403494668488,0.000303403494668488,1.0
1,128,0,6,975,specific_humidity,0.0002819638950214839,0.0002819638950214839,1.0
1,128,0,6,1000,specific_humidity,0.000275698375966985,0.000275698375966985,1.0
1,128,0,6,1,specific_cloud_ice_water_content,1.4206039464794252e-06,1.4206039464794252e-06,1.0
1,128,0,6,2,specific_cloud_ice_water_content,1.4056207277356892e-06,1.4056207277356892e-06,1.0
1,128,0,6,3,specific_cloud_ice_water_content,1.4049656067194154e-06,1.4049656067194154e-06,1.0
1,128,0,6,5,specific_cloud_ice_water_content,1.3990578523496726e-06,1.3990578523496726e-06,1.0
1,128,0,6,7,specific_cloud_ice_water_content,1.4027574858603023e-06,1.4027574858603023e-06,1.0
1,128,0,6,10,specific_cloud_ice_water_content,1.4106221265270812e-06,1.4106221265270812e-06,1.0
1,128,0,6,20,specific_cloud_ice_water_content,1.1857876167668038e-06,1.1857876167668038e-06,1.0
1,128,0,6,30,specific_cloud_ice_water_content,1.01028739149733e-06,1.01028739149733e-06,1.0
1,128,0,6,50,specific_cloud_ice_water_content,7.708389414940023e-07,7.708389414940023e-07,1.0
1,128,0,6,70,specific_cloud_ice_water_content,6.990539799351904e-07,6.990539799351904e-07,1.0
1,128,0,6,100,specific_cloud_ice_water_content,9.788538346792786e-07,9.788538346792786e-07,1.0
1,128,0,6,125,specific_cloud_ice_water_content,2.300681746129077e-06,2.300681746129077e-06,1.0
1,128,0,6,150,specific_cloud_ice_water_content,3.7490564957738998e-06,3.7490564957738998e-06,1.0
1,128,0,6,175,specific_cloud_ice_water_content,4.960764079174599e-06,4.960764079174599e-06,1.0
1,128,0,6,200,specific_cloud_ice_water_content,6.1763666793779366e-06,6.1763666793779366e-06,1.0
1,128,0,6,225,specific_cloud_ice_water_content,7.1781582016565255e-06,7.1781582016565255e-06,1.0
1,128,0,6,250,specific_cloud_ice_water_content,7.50072130594897e-06,7.50072130594897e-06,1.0
1,128,0,6,300,specific_cloud_ice_water_content,7.689260186203563e-06,7.689260186203563e-06,1.0
1,128,0,6,350,specific_cloud_ice_water_content,7.394346892745032e-06,7.394346892745032e-06,1.0
1,128,0,6,400,specific_cloud_ice_water_content,6.521993740155893e-06,6.521993740155893e-06,1.0
1,128,0,6,450,specific_cloud_ice_water_content,5.656019550027895e-06,5.656019550027895e-06,1.0
1,128,0,6,500,specific_cloud_ice_water_content,4.817655002351666e-06,4.817655002351666e-06,1.0
1,128,0,6,550,specific_cloud_ice_water_content,3.980803809296654e-06,3.980803809296654e-06,1.0
1,128,0,6,600,specific_cloud_ice_water_content,3.3726014668895825e-06,3.3726014668895825e-06,1.0
1,128,0,6,650,specific_cloud_ice_water_content,2.8844669380874784e-06,2.8844669380874784e-06,1.0
1,128,0,6,700,specific_cloud_ice_water_content,2.5674993548664024e-06,2.5674993548664024e-06,1.0
1,128,0,6,750,specific_cloud_ice_water_content,2.2538395465582705e-06,2.2538395465582705e-06,1.0
1,128,0,6,775,specific_cloud_ice_water_content,2.1856198644839124e-06,2.1856198644839124e-06,1.0
1,128,0,6,800,specific_cloud_ice_water_content,2.159897297531843e-06,2.159897297531843e-06,1.0
1,128,0,6,825,specific_cloud_ice_water_content,2.114584282775733e-06,2.114584282775733e-06,1.0
1,128,0,6,850,specific_cloud_ice_water_content,1.994722956575078e-06,1.994722956575078e-06,1.0
1,128,0,6,875,specific_cloud_ice_water_content,1.7715402042323753e-06,1.7715402042323753e-06,1.0
1,128,0,6,900,specific_cloud_ice_water_content,1.560506010189548e-06,1.560506010189548e-06,1.0
1,128,0,6,925,specific_cloud_ice_water_content,1.393651179751738e-06,1.393651179751738e-06,1.0
1,128,0,6,950,specific_cloud_ice_water_content,1.2220703361723148e-06,1.2220703361723148e-06,1.0
1,128,0,6,975,specific_cloud_ice_water_content,1.0380023373445382e-06,1.0380023373445382e-06,1.0
1,128,0,6,1000,specific_cloud_ice_water_content,9.404953549931882e-07,9.404953549931882e-07,1.0
1,128,0,6,1,specific_cloud_liquid_water_content,2.607430654687599e-06,2.607430654687599e-06,1.0
1,128,0,6,2,specific_cloud_liquid_water_content,2.6116698308202425e-06,2.6116698308202425e-06,1.0
1,128,0,6,3,specific_cloud_liquid_water_content,2.5949910173011508e-06,2.5949910173011508e-06,1.0
1,128,0,6,5,specific_cloud_liquid_water_content,2.6077422040062975e-06,2.6077422040062975e-06,1.0
1,128,0,6,7,specific_cloud_liquid_water_content,2.625027431847605e-06,2.625027431847605e-06,1.0
1,128,0,6,10,specific_cloud_liquid_water_content,2.5969440454393827e-06,2.5969440454393827e-06,1.0
1,128,0,6,20,specific_cloud_liquid_water_content,2.2785213747666373e-06,2.2785213747666373e-06,1.0
1,128,0,6,30,specific_cloud_liquid_water_content,1.9447560652356706e-06,1.9447560652356706e-06,1.0
1,128,0,6,50,specific_cloud_liquid_water_content,1.9026943828573445e-06,1.9026943828573445e-06,1.0
1,128,0,6,70,specific_cloud_liquid_water_content,1.5165505909421657e-06,1.5165505909421657e-06,1.0
1,128,0,6,100,specific_cloud_liquid_water_content,1.5032028760004338e-06,1.5032028760004338e-06,1.0
1,128,0,6,125,specific_cloud_liquid_water_content,1.3879582471183588e-06,1.3879582471183588e-06,1.0
1,128,0,6,150,specific_cloud_liquid_water_content,1.480373494315754e-06,1.480373494315754e-06,1.0
1,128,0,6,175,specific_cloud_liquid_water_content,1.6357976890769738e-06,1.6357976890769738e-06,1.0
1,128,0,6,200,specific_cloud_liquid_water_content,1.8112852966820385e-06,1.8112852966820385e-06,1.0
1,128,0,6,225,specific_cloud_liquid_water_content,1.6772163907512642e-06,1.6772163907512642e-06,1.0
1,128,0,6,250,specific_cloud_liquid_water_content,1.7577519747550994e-06,1.7577519747550994e-06,1.0
1,128,0,6,300,specific_cloud_liquid_water_content,2.2215981351880656e-06,2.2215981351880656e-06,1.0
1,128,0,6,350,specific_cloud_liquid_water_content,2.753910700547746e-06,2.753910700547746e-06,1.0
1,128,0,6,400,specific_cloud_liquid_water_content,3.771407205589865e-06,3.771407205589865e-06,1.0
1,128,0,6,450,specific_cloud_liquid_water_content,5.561933571204527e-06,5.561933571204527e-06,1.0
1,128,0,6,500,specific_cloud_liquid_water_content,8.249067358806768e-06,8.249067358806768e-06,1.0
1,128,0,6,550,specific_cloud_liquid_water_content,1.1006397365588961e-05,1.1006397365588961e-05,1.0
1,128,0,6,600,specific_cloud_liquid_water_content,9.540017729517219e-06,9.540017729517219e-06,1.0
1,128,0,6,650,specific_cloud_liquid_water_content,9.543024885674254e-06,9.543024885674254e-06,1.0
1,128,0,6,700,specific_cloud_liquid_water_content,1.0752393249598763e-05,1.0752393249598763e-05,1.0
1,128,0,6,750,specific_cloud_liquid_water_content,1.2409822064669506e-05,1.2409822064669506e-05,1.0
1,128,0,6,775,specific_cloud_liquid_water_content,1.307133403266907e-05,1.307133403266907e-05,1.0
1,128,0,6,800,specific_cloud_liquid_water_content,1.4138016620359287e-05,1.4138016620359287e-05,1.0
1,128,0,6,825,specific_cloud_liquid_water_content,1.60658139419533e-05,1.60658139419533e-05,1.0
1,128,0,6,850,specific_cloud_liquid_water_content,1.7874178422521548e-05,1.7874178422521548e-05,1.0
1,128,0,6,875,specific_cloud_liquid_water_content,1.8107670967379836e-05,1.8107670967379836e-05,1.0
1,128,0,6,900,specific_cloud_liquid_water_content,1.7254756612115812e-05,1.7254756612115812e-05,1.0
1,128,0,6,925,specific_cloud_liquid_water_content,1.5449699350835324e-05,1.5449699350835324e-05,1.0
1,128,0,6,950,specific_cloud_liquid_water_content,1.305610728390447e-05,1.305610728390447e-05,1.0
1,128,0,6,975,specific_cloud_liquid_water_content,9.737965528549028e-06,9.737965528549028e-06,1.0
1,128,0,6,1000,specific_cloud_liquid_water_content,7.395349420625011e-06,7.395349420625011e-06,1.0
1,128,100,6,1,geopotential,10000.674677444627,30017.112690917347,0.3331657771492012
1,128,100,6,2,geopotential,6656.677799982592,20502.3884876883,0.32467816147274414
1,128,100,6,3,geopotential,5104.156852206737,15455.170984071645,0.3302556055489238
1,128,100,6,5,geopotential,2950.74090570811,9454.636002500229,0.3120946068074754
1,128,100,6,7,geopotential,1836.9419055392757,5951.390274193691,0.3086576112315452
1,128,100,6,10,geopotential,912.379734340574,2712.6580123551735,0.3363415993409472
1,128,100,6,20,geopotential,883.1262783498975,1383.490532900262,0.6383319996404799
1,128,100,6,30,geopotential,695.0422204632514,1782.3774993327822,0.38995230848876544
1,128,100,6,50,geopotential,292.442920916766,48.71837840567823,6.002722801682602
1,128,100,6,70,geopotential,1543.4683039254653,44.25181490018717,34.87920907666404
1,128,100,6,100,geopotential,509.0905366808645,32.36684696735586,15.7287652144281
1,128,100,6,125,geopotential,211.673930047271,27.250452833998416,7.767721561792939
1,128,100,6,150,geopotential,212.09739857831084,25.853203015822537,8.203911849858764
1,128,100,6,175,geopotential,238.54422776173084,25.879460085026363,9.2175117633057
1,128,100,6,200,geopotential,208.76619773728842,26.94857391969595,7.746836562090104
1,128,100,6,225,geopotential,212.6409770600899,27.00899913723362,7.872967671984218
1,128,100,6,250,geopotential,200.9269809801948,27.853511372988223,7.213703805224707
1,128,100,6,300,geopotential,202.92077535323855,29.16670333614647,6.957274979437173
1,128,100,6,350,geopotential,203.5291241212012,29.207937994145585,6.968281162538636
1,128,100,6,400,geopotential,202.96952878987122,28.084448168897442,7.227114720902829
1,128,100,6,450,geopotential,201.89063825435082,26.924804839753435,7.498313895158382
1,128,100,6,500,geopotential,206.4093126449108,25.5906557844183,8.06580786298528
1,128,100,6,550,geopotential,212.70371523668095,24.343130155875908,8.737730681086584
1,128,100,6,600,geopotential,214.22079352170942,23.777138524480296,9.009527925370561
1,128,100,6,650,geopotential,214.73666110676638,23.42100179145581,9.16855150000903
1,128,100,6,700,geopotential,210.43559531341515,23.71434595430227,8.873767622304499
1,128,100,6,750,geopotential,211.25158101377008,23.925957089770304,8.829388944448624
1,128,100,6,775,geopotential,205.984017055646,24.122567562987896,8.53905856073524
1,128,100,6,800,geopotential,201.2619829341477,24.41477679319394,8.243449638673457
1,128,100,6,825,geopotential,203.40641815790738,24.82136838384357,8.194810818339342
1,128,100,6,850,geopotential,211.98455574435937,25.2001591806623,8.412032409185285
1,128,100,6,875,geopotential,220.84975775850094,25.662939695315867,8.605785634091312
1,128,100,6,900,geopotential,225.512725901971,26.37463086834615,8.550365198575083
1,128,100,6,925,geopotential,216.5017684191523,27.231975129279554,7.950277840345548
1,128,100,6,950,geopotential,226.49932969000253,28.138298628468174,8.049503371921992
1,128,100,6,975,geopotential,261.4742440721721,29.473191721908822,8.871595806089976
1,128,100,6,1000,geopotential,293.79476579111144,31.291805198544278,9.388872387738724
1,128,100,6,1,temperature,7.475207646314233,8.585644145124043,0.8706635774742134
1,128,100,6,2,temperature,11.894603250348911,6.857750280841892,1.7344759962429939
1,128,100,6,3,temperature,9.033847800345727,5.595503425158137,1.614483472519797
1,128,100,6,5,temperature,5.3319443518275635,4.228495628067508,1.2609553895327898
1,128,100,6,7,temperature,4.143756719464603,3.497812416957201,1.1846709387204128
1,128,100,6,10,temperature,3.3136798468018016,2.581661702999672,1.2835453394035272
1,128,100,6,20,temperature,5.425819636425661,2.3380640474223027,2.3206462810150925
1,128,100,6,30,temperature,4.280842790821697,2.0263439145660045,2.1125943923189134
1,128,100,6,50,temperature,2.0655422750206998,0.5925003334836259,3.4861453374655063
1,128,100,6,70,temperature,6.214818644556819,0.5706100911703732,10.891533011289129
1,128,100,6,100,temperature,1.8079728311579613,0.45749890306441693,3.95186265813493
1,128,100,6,125,temperature,7.6650123422288114,0.36691240447176915,20.89057837459559
1,128,100,6,150,temperature,4.7243337230421965,0.327471433827833,14.426704851226805
1,128,100,6,175,temperature,1.5323018812066207,0.30621465563802763,5.004012228003662
1,128,100,6,200,temperature,0.6646614115159583,0.31506225114522685,2.109619318404428
1,128,100,6,225,temperature,0.9840979625404379,0.32288913260873686,3.0477890494163065
1,128,100,6,250,temperature,0.5542608581780769,0.31689929214080653,1.749012610390447
1,128,100,6,300,temperature,0.6323322417155602,0.31351115945525054,2.0169369499136347
1,128,100,6,350,temperature,0.5566960522070987,0.3036021504230704,1.8336367230315769
1,128,100,6,400,temperature,0.699098661797456,0.30196674989182404,2.3151511285527286
1,128,100,6,450,temperature,0.6186270264401218,0.30076424636283866,2.0568502869646847
1,128,100,6,500,temperature,0.5931902646976329,0.30229639005800685,1.9622803454047442
1,128,100,6,550,temperature,0.45490112816257355,0.31002479252728576,1.4673056449913986
1,128,100,6,600,temperature,0.5679559843966463,0.3179765382408303,1.7861568892434625
1,128,100,6,650,temperature,0.6781068419211791,0.33060825539124505,2.051088655117522
1,128,100,6,700,temperature,0.7271534506857986,0.34310377892444033,2.1193396731603333
1,128,100,6,750,temperature,0.5921964085816245,0.36546232228631653,1.6204034519259585
1,128,100,6,775,temperature,0.7246592483340637,0.3751180538068075,1.9318165067770268
1,128,100,6,800,temperature,0.9330564087055029,0.39138594820423345,2.3839803472418337
1,128,100,6,825,temperature,1.0668090416918843,0.4166086232846167,2.5606984158920465
1,128,100,6,850,temperature,0.8598987515168047,0.4357134643717728,1.9735418384571555
1,128,100,6,875,temperature,1.2952560916127094,0.4444190285900196,2.9144928733634274
1,128,100,6,900,temperature,1.0810168063491064,0.44668719440069277,2.4200756589843038
1,128,100,6,925,temperature,0.8707145075639755,0.4469750334402169,1.9480159794661864
1,128,100,6,950,temperature,1.0428358769490178,0.4578317390549868,2.2777710411723344
1,128,100,6,975,temperature,1.0493120938065763,0.4764615387155689,2.2023017778838585
